"Date","Windows","OS X","Linux","Unknown","FreeBSD","OpenBSD","Chrome OS","Other"
2011,81.01,18.7,0,0.29,0,0,0,0
2012,77.91,20.67,1.43,0,0,0,0,0
2013,100,0,0,0,0,0,0,0
2014,100,0,0,0,0,0,0,0
2015,82.43,10.3,6.98,0.19,0.04,0.03,0.02,0.01
2016,71.6,12.6,15.28,0.35,0.08,0.08,0,0.01
2017,91.85,6.08,1.64,0.43,0,0,0,0
2018,82.39,16.94,0.66,0,0,0,0,0
2019,87.24,8.92,3.72,0.12,0,0,0,0
2020,98.13,1.87,0,0,0,0,0,0
2021,97.21,1.73,0.4,0.66,0,0,0,0
2022,98.61,0.97,0.14,0.28,0,0,0,0
2023,98.13,1.14,0.41,0.31,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
