"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Playstation","Other"
2009,97.5,1.71,0.12,0.64,0,0,0,0.01,0.01
2010,97.02,2.04,0.06,0.82,0,0.02,0,0.03,0.01
2011,96.7,2.28,0.03,0.75,0.02,0.18,0,0.03,0.01
2012,95.95,2.77,0.05,0.82,0.09,0.3,0,0.02,0.01
2013,94.9,3.54,0.06,0.96,0.54,0,0,0,0
2014,91.92,5.59,1.04,1.17,0.26,0,0.02,0,0
2015,87.4,8.91,2.31,1.33,0,0,0.05,0,0
2016,78.43,12.77,7.3,1.42,0,0,0.08,0,0
2017,77.59,17.96,2.92,1.41,0,0,0.11,0,0
2018,72.5,21.97,3.88,1.55,0,0,0.1,0,0
2019,66.15,26.3,6.11,1.37,0,0,0.08,0,0
2020,72.42,24.98,1.23,1.28,0,0,0.08,0,0
2021,82.36,11.69,4.18,1.5,0,0,0.28,0,0
2022,84.23,10.11,3.15,1.91,0,0,0.6,0,0
2023,82.4,7.99,7.23,1.91,0,0,0.47,0,0
