"Date","Windows","Unknown","OS X","Linux","Android","Chrome OS","iOS","Other"
2009,98.93,0.12,0.5,0.43,0,0,0,0.01
2010,98.85,0.07,0.67,0.38,0,0,0.03,0.01
2011,98.45,0.16,0.81,0.4,0.05,0,0.13,0
2012,98.33,0.66,0.61,0.24,0.04,0,0.11,0.02
2013,97.14,0.77,1.27,0.46,0.36,0,0,0
2014,95.71,1.83,1.67,0.64,0.13,0.01,0,0
2015,92.58,4.74,1.87,0.78,0,0.02,0,0
2016,88.04,9.27,1.88,0.78,0,0.02,0,0
2017,89.7,6.86,2.42,0.99,0,0.03,0,0
2018,86.77,9.5,2.73,0.97,0,0.04,0,0
2019,83.06,12.72,3.27,0.92,0,0.02,0,0
2020,86.64,9.63,2.58,1.13,0,0.02,0,0
2021,78.95,17.27,1.77,1.98,0,0.04,0,0
2022,78.54,15.59,2.58,3.18,0,0.11,0,0
2023,75,18.29,2.58,3.98,0,0.15,0,0
