"Date","Windows","OS X","Linux","Unknown","iOS","Android","SunOS","FreeBSD","Chrome OS","Other"
2009,98.77,0.59,0.47,0.14,0,0,0,0.02,0,0.01
2010,97.27,1.48,0.97,0.13,0.06,0,0,0.06,0,0.02
2011,96.55,1.82,1.02,0.11,0.4,0.05,0,0.03,0,0.02
2012,95.73,2.29,1.04,0.07,0.65,0.18,0.02,0.01,0,0.02
2013,95.65,2.68,1.16,0.1,0.04,0.35,0.02,0.01,0,0
2014,93.82,3.75,1.34,0.89,0.02,0.15,0.02,0.01,0.01,0
2015,92.33,4.21,1.65,1.73,0,0,0.03,0.01,0.03,0.01
2016,90.75,5.48,1.27,2.45,0,0,0.02,0,0.02,0
2017,89.75,6.79,1.47,1.92,0,0,0.02,0,0.03,0
2018,87.74,8.08,1.27,2.83,0,0,0.03,0,0.03,0
2019,85.85,9.51,1.29,3.3,0,0,0.03,0,0.02,0
2020,83.81,11.85,2.48,1.78,0,0,0.05,0,0.03,0.01
2021,81.92,9.68,4.94,3.31,0,0,0.05,0,0.09,0
2022,87.83,5.78,1.94,4.43,0,0,0,0,0.03,0
2023,83.19,7.5,1.94,7.35,0,0,0,0,0.02,0
