"Date","Windows","OS X","Linux","Unknown","Android","iOS","Chrome OS","Other"
2009,98.21,1.04,0.69,0.05,0,0,0,0.01
2010,98.03,1.13,0.76,0.04,0,0.02,0,0.01
2011,98.03,0.99,0.77,0.03,0.02,0.14,0,0.02
2012,97.58,1.22,0.83,0.02,0.09,0.25,0,0.02
2013,97.31,1.29,0.95,0.04,0.41,0,0,0
2014,96.39,1.74,1.28,0.34,0.23,0,0.01,0
2015,94.7,2.35,1.49,1.43,0,0,0.03,0
2016,90.99,3.21,1.37,4.4,0,0,0.03,0
2017,92.52,4.44,1.29,1.72,0,0,0.03,0
2018,90.41,5.04,1.14,3.3,0,0,0.11,0
2019,86.82,8,1.17,3.96,0,0,0.05,0
2020,87.19,9.27,1.36,2.11,0,0,0.07,0
2021,90.06,4.59,1.63,3.62,0,0,0.1,0
2022,89.04,4.31,2.23,4.27,0,0,0.13,0.01
2023,85.48,3.84,2.6,7.95,0,0,0.11,0.02
