"Date","OS X","Windows","Unknown","Chrome OS","Linux","Other"
2013,0,68.75,0,0,31.25,0
2014,0,100,0,0,0,0
2015,0,100,0,0,0,0
2016,71.54,23.98,4.09,0,0.19,0.19
2017,54.18,43.54,1.9,0,0.25,0.13
2018,57.82,39.36,0.94,0,1.88,0
2019,36.25,54.21,6.69,2.73,0.13,0
2020,44.53,52.98,0.19,2.11,0.19,0
2021,60.73,35.96,2.24,1.08,0,0
2022,76.85,21.93,1.09,0.09,0.04,0
2023,72.4,26.94,0.55,0.05,0.06,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
2012,0,0,0,0,0,0
