"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Other"
2009,97.44,1.59,0.8,0.15,0,0,0,0.03
2010,96.97,1.96,0.96,0.07,0.02,0,0,0.02
2011,96.35,2.42,0.95,0.05,0.18,0,0.02,0.02
2012,94.88,3.38,1.21,0.04,0.35,0,0.11,0.01
2013,94.03,4.38,1.38,0.04,0,0,0.17,0
2014,92.66,5.11,1.56,0.58,0,0.02,0.06,0
2015,90.72,6.38,1.9,0.95,0,0.04,0,0.01
2016,89.33,7.31,1.6,1.71,0,0.05,0,0
2017,88.28,8.94,1.74,0.98,0,0.06,0,0.01
2018,85.34,10.7,1.65,2.24,0,0.06,0,0
2019,83.21,12.58,1.63,2.49,0,0.09,0,0
2020,83.29,13.04,2.63,0.97,0,0.06,0,0
2021,83.84,9.74,1.81,4.52,0,0.09,0,0
2022,88.92,8.19,1.25,1.24,0,0.41,0,0
2023,85.25,9.59,2.11,2.63,0,0.41,0,0
