"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,94.47,4.21,0.17,1.07,0,0,0,0.09
2010,93.95,4.73,0.07,1.19,0,0.05,0,0.02
2011,93.22,4.92,0.04,1.32,0,0.4,0.1,0
2012,92.68,5.42,0.06,1.26,0.02,0.44,0.12,0.01
2013,92.13,6.04,0.12,1.57,0.02,0,0.12,0
2014,92.14,6.22,0.33,1.22,0.05,0,0.03,0
2015,90.48,6.33,1.63,1.45,0.11,0,0,0.01
2016,85.9,7.37,4.87,1.73,0.13,0,0,0
2017,86.33,9.36,2.44,1.65,0.18,0,0,0.04
2018,85.1,9.63,3.82,1.18,0.27,0,0,0
2019,80.2,11.94,6.24,1.5,0.12,0,0,0
2020,81.13,11.93,5,1.75,0.19,0,0,0
2021,81.48,5.97,10.32,1.61,0.61,0,0,0
2022,88.23,3.55,4.7,0.94,2.57,0,0,0.01
2023,79.22,5.94,11.56,1.92,1.34,0,0,0.01
