"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,93.66,3.82,0.12,2.2,0,0,0,0.19
2010,90.01,9.18,0.04,0.61,0.15,0,0,0.01
2011,89.53,8.67,0.04,0.37,1.34,0,0.03,0
2012,88.08,9.36,0.08,0.52,1.78,0,0.13,0.05
2013,97.07,2.59,0,0.24,0,0,0.09,0
2014,97.13,2.51,0.06,0.24,0,0.02,0.03,0
2015,96.61,2.7,0.32,0.32,0,0.06,0,0
2016,88.25,7.09,3.41,1.14,0,0.11,0,0.01
2017,91.42,6.3,1.76,0.47,0,0.05,0,0
2018,89.02,6.92,3.72,0.27,0,0.06,0,0
2019,87,9.29,3.51,0.14,0,0.06,0,0
2020,93.46,5.55,0.81,0.15,0,0.03,0,0
2021,94.18,3.36,1.26,0.94,0,0.27,0,0
2022,76.98,8.34,3.39,10.41,0,0.88,0,0
2023,86.43,8.94,3.42,0.78,0,0.43,0,0
