"Date","Windows","OS X","Linux","Unknown","Chrome OS","iOS","Android","Playstation","Other"
2009,90.37,6.87,2.52,0.17,0,0,0,0.05,0.02
2010,89.31,7.84,2.56,0.1,0,0.05,0,0.13,0.01
2011,87.81,9.05,2.32,0.04,0,0.57,0.05,0.15,0.01
2012,86.24,10.33,2.19,0.03,0,1,0.14,0.06,0.01
2013,86.2,11.01,2.33,0.03,0.02,0,0.4,0,0
2014,87.38,9.87,2.18,0.22,0.22,0,0.12,0,0
2015,83.5,11.63,3.43,1.11,0.33,0,0,0,0.01
2016,81.33,12.43,2.75,3.03,0.45,0,0,0,0.01
2017,82.2,13.16,2.73,1.24,0.64,0,0,0,0.02
2018,78.18,13.62,2.47,4.84,0.88,0,0,0,0.01
2019,78.76,13.54,2.62,3.92,1.15,0,0,0,0.01
2020,77.22,16.91,3.23,0.98,1.65,0,0,0,0.01
2021,78.88,13.57,2.77,2.39,2.4,0,0,0,0.01
2022,75.58,11.09,8.79,1.1,3.43,0,0,0,0
2023,79.41,11.07,3.34,2.64,3.54,0,0,0,0.01
