"Date","Windows","OS X","Unknown","iOS","Linux","Android","Chrome OS","Playstation","Other"
2009,92.4,6.05,1.19,0,0.33,0,0,0.03,0
2010,90.85,8.08,0.46,0.22,0.33,0,0,0.04,0.01
2011,86.98,9.28,0.3,2.29,0.37,0.74,0,0.04,0
2012,84.65,9.74,0.13,3.78,0.31,1.34,0,0.03,0.02
2013,87,11.75,0.04,0,0.43,0.78,0,0,0
2014,84.87,13.18,0.9,0,0.77,0.27,0.01,0,0
2015,82.95,12.79,2.5,0,1.72,0,0.03,0,0
2016,76.82,15.74,6.81,0,0.58,0,0.04,0,0
2017,80.26,17.31,1.65,0,0.73,0,0.04,0,0
2018,76.23,18.64,4.41,0,0.6,0,0.12,0,0
2019,74.01,19.79,5.3,0,0.8,0,0.09,0,0
2020,75.15,21.22,2.64,0,0.83,0,0.16,0,0
2021,75.93,17.91,4.42,0,1.5,0,0.23,0,0
2022,76.06,18.37,3.74,0,1.54,0,0.29,0,0
2023,72.56,17.99,7.49,0,1.71,0,0.25,0,0.01
