"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,99.34,0.49,0.05,0.12,0,0,0,0
2010,98.57,1.18,0.05,0.14,0,0.05,0,0.01
2011,98.24,1.27,0.05,0.12,0.02,0.29,0,0.01
2012,98.59,0.85,0.03,0.1,0.07,0.36,0,0.01
2013,98.38,0.98,0.01,0.19,0.44,0,0,0
2014,97,1.52,0.66,0.6,0.21,0,0,0
2015,94.17,2.01,2.57,1.23,0,0,0.01,0.01
2016,91.66,2.89,4.18,1.24,0,0,0.03,0.01
2017,89.77,4.74,3.95,1.51,0,0,0.02,0.01
2018,82.28,7.23,9.24,1.21,0,0,0.04,0
2019,83.41,7.17,7.68,1.7,0,0,0.03,0
2020,86.7,9.06,2.37,1.84,0,0,0.03,0
2021,87.28,6.31,4.01,2.36,0,0,0.04,0.01
2022,86.26,6.2,3.34,4.11,0,0,0.07,0.01
2023,77.48,6.09,11.48,4.81,0,0,0.13,0.02
