"Date","Windows","OS X","Linux","Unknown","Chrome OS","FreeBSD"
2012,98,0,2,0,0,0
2013,100,0,0,0,0,0
2014,100,0,0,0,0,0
2015,100,0,0,0,0,0
2016,47.49,4.01,48.37,0,0,0.13
2017,90.63,7.81,1.56,0,0,0
2018,69.14,27.27,0.66,2.81,0.12,0
2019,86.4,11.55,0.82,1.19,0.04,0
2020,84.78,13.92,0.34,0.14,0.82,0
2021,85.7,10.8,2.83,0.26,0.4,0
2022,99.26,0.56,0,0.19,0,0
2023,99.39,0.44,0,0.17,0,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
