"Date","Windows","OS X","Linux","Unknown","Chrome OS","iOS","Android","Playstation","Other"
2009,92.65,6.15,0.91,0.12,0,0,0,0.14,0.02
2010,90.78,7.83,0.98,0.07,0,0.13,0,0.18,0.02
2011,88.25,9.59,0.99,0.05,0,0.82,0.06,0.23,0.01
2012,86.37,10.82,1,0.12,0,1.33,0.22,0.12,0.02
2013,86.58,12.04,1.02,0.07,0,0,0.29,0,0
2014,87.12,11.14,1.07,0.54,0.05,0,0.08,0,0
2015,83.8,14,1.34,0.73,0.13,0,0,0,0
2016,81.93,15.09,1.14,1.68,0.17,0,0,0,0
2017,80.57,17.34,1.15,0.7,0.22,0,0,0,0.01
2018,78.36,18.11,1.16,2.06,0.3,0,0,0,0.01
2019,75.9,20.32,1.23,2.12,0.41,0,0,0,0.01
2020,73.97,23.37,1.23,0.9,0.53,0,0,0,0
2021,76.28,19.74,1.23,1.74,1,0,0,0,0
2022,79.87,14.52,0.85,0.69,4.06,0,0,0,0
2023,76.05,16.3,1.27,1.55,4.83,0,0,0,0
