"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Playstation","Android","","BlackBerry OS","Other"
2009,96,3.01,0.21,0.52,0,0,0.24,0,0,0,0.02
2010,95.42,3.64,0.08,0.38,0,0.13,0.33,0,0,0,0.02
2011,94.26,3.96,0.05,0.49,0,0.66,0.48,0.05,0,0.02,0.02
2012,92.79,4.44,0.05,0.51,0,1.29,0.28,0.2,0.32,0.08,0.04
2013,93.21,5.58,0.03,0.83,0.1,0,0,0.25,0,0,0
2014,90.73,6.42,0.44,1.92,0.35,0,0,0.14,0,0,0
2015,88.04,7.45,2.68,1.33,0.5,0,0,0,0,0,0
2016,82.38,9.06,6.42,1.4,0.73,0,0,0,0,0,0
2017,83.31,11.57,2.88,1.43,0.81,0,0,0,0,0,0
2018,79.36,13.87,4.94,1.14,0.68,0,0,0,0,0,0
2019,76.94,16.7,4.79,1.04,0.53,0,0,0,0,0,0
2020,73.36,21.74,3.38,0.7,0.82,0,0,0,0,0,0
2021,77.89,14.05,4.52,0.84,2.7,0,0,0,0,0,0
2022,75.72,13.42,5.12,1.1,4.64,0,0,0,0,0,0
2023,74.53,14.26,5.93,1.26,4.01,0,0,0,0,0,0
