"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,98.91,0.1,0.42,0.57,0,0,0,0
2010,98.65,0.03,0.69,0.59,0,0.03,0,0.01
2011,97.32,0.05,1.48,0.94,0,0.17,0.03,0
2012,97.64,0.05,1.27,0.61,0,0.34,0.08,0.02
2013,97.63,0.06,1.33,0.84,0,0,0.14,0
2014,96.38,0.35,2.6,0.61,0.03,0,0.03,0
2015,94.36,1.68,2.87,1.04,0.05,0,0,0
2016,88.36,5.44,4.67,1.47,0.06,0,0,0
2017,87.54,2.87,7.69,1.81,0.08,0,0,0.01
2018,82.89,5.09,9.75,2.08,0.18,0,0,0
2019,78.81,8.61,10.52,1.99,0.07,0,0,0
2020,80.13,5.75,11.09,2.93,0.11,0,0,0
2021,66.96,24.38,4.36,4.14,0.16,0,0,0
2022,67.92,23.6,4.38,3.86,0.23,0,0,0.01
2023,59.86,29.82,5.59,4.46,0.26,0,0,0
