"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Playstation","Other"
2009,98.38,1.19,0.07,0.33,0,0,0,0.02,0
2010,98.03,1.4,0.06,0.4,0.06,0,0,0.04,0.01
2011,97.11,1.92,0.02,0.41,0.44,0,0.05,0.04,0.01
2012,96.11,2.5,0.02,0.48,0.74,0,0.09,0.02,0.04
2013,95.13,3.65,0.05,1,0,0.02,0.16,0,0
2014,92.04,6.21,0.43,1.1,0,0.15,0.07,0,0
2015,88.04,7.64,2.78,1.28,0,0.25,0,0,0.01
2016,80.02,10.67,7.99,1.05,0,0.27,0,0,0
2017,78.99,14.63,4.82,1.16,0,0.41,0,0,0
2018,76.65,16.6,4.86,1.39,0,0.5,0,0,0
2019,75.4,17.35,5.74,1.16,0,0.3,0,0,0.04
2020,75.76,19.23,3.67,0.89,0,0.46,0,0,0
2021,78.82,8.62,9.64,1.31,0,1.61,0,0,0
2022,78.61,8.51,9.32,1.78,0,1.78,0,0,0
2023,71.37,9.84,10.53,5.9,0,2.35,0,0,0
