"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,97.48,0.24,0.33,1.94,0,0,0,0
2010,98.22,0.24,1.14,0.32,0,0.07,0,0.01
2011,96.15,0.02,1.94,0.61,0,1.12,0.15,0
2012,91.73,0.04,6.19,0.53,0,1.16,0.34,0.02
2013,89.63,0.07,8.72,1.08,0.01,0,0.48,0
2014,93.37,1.32,4.42,0.72,0.12,0,0.05,0
2015,87.9,6.34,4.74,0.86,0.15,0,0,0
2016,75.23,13.83,9.17,1.33,0.44,0,0,0
2017,81.01,6.2,11.53,1.15,0.1,0,0,0.01
2018,77.04,8.26,13.46,1.07,0.18,0,0,0
2019,68.43,15.86,14.67,0.86,0.17,0,0,0
2020,73.31,10.42,14.96,0.79,0.52,0,0,0
2021,48.75,45.78,4.02,1,0.45,0,0,0
2022,47.06,47.86,3.05,1.48,0.55,0,0,0
2023,31.53,64.79,2.01,1.35,0.31,0,0,0
