"Date","Windows","OS X","iOS","Unknown","Linux","Chrome OS","Playstation","Android","BlackBerry OS","","Other"
2009,90.56,8.07,0,0.9,0.29,0,0.17,0,0,0,0.01
2010,86.2,12.24,0.51,0.35,0.44,0,0.25,0,0,0,0.01
2011,82.97,13.47,2.58,0.25,0.29,0,0.29,0.09,0.04,0,0.01
2012,80.3,14.91,3.71,0.08,0.31,0,0.15,0.27,0.11,0.13,0.02
2013,82.77,16.32,0,0.08,0.57,0.09,0,0.17,0,0,0
2014,78.96,19.59,0,0.25,0.77,0.37,0,0.06,0,0,0
2015,77.73,19.05,0,1.6,0.99,0.62,0,0,0,0,0.01
2016,74.01,20.74,0,2.93,1.49,0.82,0,0,0,0,0.01
2017,74.29,21.34,0,1.22,2.28,0.87,0,0,0,0,0
2018,72.95,21.87,0,2.93,1.36,0.89,0,0,0,0,0
2019,74.28,21.7,0,2.8,0.43,0.78,0,0,0,0,0
2020,67.37,30.16,0,0.91,0.29,1.28,0,0,0,0,0
2021,70.19,27.1,0,1.3,0.22,1.19,0,0,0,0,0
2022,73.41,22.97,0,1.76,0.28,1.58,0,0,0,0,0
2023,63.61,30.93,0,1.93,0.41,3.13,0,0,0,0,0
